,human,machine
5044,friday december 23 1983,1983-12-23
5045,friday march 24 2006,2006-03-24
5046,aug 2 2009,2009-08-02
5047,26 10 85,1985-10-26
5048,november 8 1983,1983-11-08
5049,sunday october 22 2006,2006-10-22
5050,5 june 2011,2011-06-05
5051,september 25 1994,1994-09-25
5052,06 mar 1976,1976-03-06
5053,sunday september 18 2011,2011-09-18
5054,21 feb 1995,1995-02-21
5055,tuesday august 20 1985,1985-08-20
5056,17 may 1974,1974-05-17
5057,saturday march 10 2001,2001-03-10
5058,06.05.97,1997-05-06
5059,friday may 19 2006,2006-05-19
5060,monday march 12 1973,1973-03-12
5061,october 7 1985,1985-10-07
5062,saturday april 8 1989,1989-04-08
5063,friday november 4 2016,2016-11-04
5064,tuesday february 9 2010,2010-02-09
5065,28 dec 2006,2006-12-28
5066,may 24 2005,2005-05-24
5067,tuesday march 3 1970,1970-03-03
5068,21 mar 2014,2014-03-21
5069,wednesday april 15 1987,1987-04-15
5070,29 jul 1974,1974-07-29
5071,7/9/76,1976-07-09
5072,sunday september 11 2016,2016-09-11
5073,november 17 1974,1974-11-17
5074,5 nov 2008,2008-11-05
5075,may 12 1996,1996-05-12
5076,thursday june 28 2001,2001-06-28
5077,26 november 1994,1994-11-26
5078,friday october 14 2005,2005-10-14
5079,13.09.83,1983-09-13
5080,29 september 1973,1973-09-29
5081,april 15 1979,1979-04-15
5082,08 nov 2011,2011-11-08
5083,25 december 1980,1980-12-25
5084,friday january 20 1984,1984-01-20
5085,22 jun 1993,1993-06-22
5086,12 january 1983,1983-01-12
5087,18 mar 1996,1996-03-18
5088,30 oct 2002,2002-10-30
5089,march 23 2000,2000-03-23
5090,23.12.79,1979-12-23
5091,monday october 15 1984,1984-10-15
5092,06 mar 2010,2010-03-06
5093,tuesday april 1 1980,1980-04-01
5094,29 nov 2016,2016-11-29
5095,february 1 1973,1973-02-01
5096,thursday october 8 1992,1992-10-08
5097,monday february 2 1970,1970-02-02
5098,13 jan 1989,1989-01-13
5099,17 oct 2000,2000-10-17
5100,monday september 23 1974,1974-09-23
5101,monday november 20 1995,1995-11-20
5102,tuesday may 23 1995,1995-05-23
5103,saturday april 20 2013,2013-04-20
5104,2/15/13,2013-02-15
5105,5 06 86,1986-06-05
5106,monday october 18 1999,1999-10-18
5107,april 4 1989,1989-04-04
5108,23.04.80,1980-04-23
5109,july 28 2007,2007-07-28
5110,18 august 1991,1991-08-18
5111,november 4 2017,2017-11-04
5112,friday august 17 1973,1973-08-17
5113,sunday february 3 1980,1980-02-03
5114,25 june 1995,1995-06-25
5115,february 7 1985,1985-02-07
5116,30 oct 1977,1977-10-30
5117,tuesday november 21 2000,2000-11-21
5118,10 jul 1988,1988-07-10
5119,february 26 2016,2016-02-26
5120,september 16 1991,1991-09-16
5121,18 december 1975,1975-12-18
5122,friday may 4 1979,1979-05-04
5123,february 12 1991,1991-02-12
5124,10 december 2009,2009-12-10
5125,january 25 1991,1991-01-25
5126,09 dec 2005,2005-12-09
5127,19 april 1980,1980-04-19
5128,july 1 2017,2017-07-01
5129,august 28 1974,1974-08-28
5130,thursday march 10 1988,1988-03-10
5131,thursday october 30 1975,1975-10-30
5132,13 02 83,1983-02-13
5133,saturday may 26 2007,2007-05-26
5134,monday january 18 2016,2016-01-18
5135,friday june 16 1995,1995-06-16
5136,december 5 1972,1972-12-05
5137,11 jul 1971,1971-07-11
5138,23 mar 2003,2003-03-23
5139,10 april 2007,2007-04-10
5140,september 13 1986,1986-09-13
5141,thursday february 28 1980,1980-02-28
5142,monday april 7 1986,1986-04-07
5143,feb 20 2005,2005-02-20
5144,april 22 1996,1996-04-22
5145,may 14 1981,1981-05-14
5146,27 aug 2000,2000-08-27
5147,09 may 2001,2001-05-09
5148,mar 27 1984,1984-03-27
5149,saturday october 11 1975,1975-10-11
5150,sunday september 15 1985,1985-09-15
5151,2 mar 1975,1975-03-02
5152,tuesday april 24 1973,1973-04-24
5153,tuesday july 9 1991,1991-07-09
5154,thursday july 16 1981,1981-07-16
5155,friday june 29 1984,1984-06-29
5156,13 nov 1983,1983-11-13
5157,27 05 93,1993-05-27
5158,feb 27 1997,1997-02-27
5159,13 october 2003,2003-10-13
5160,20 feb 1980,1980-02-20
5161,27 04 09,2009-04-27
5162,24 september 1997,1997-09-24
5163,thursday september 17 1981,1981-09-17
5164,thursday october 28 1999,1999-10-28
5165,15 jun 1999,1999-06-15
5166,14 jan 1989,1989-01-14
5167,22 jul 2013,2013-07-22
5168,16 july 1976,1976-07-16
5169,2 september 1991,1991-09-02
5170,27 apr 2005,2005-04-27
5171,11 february 1990,1990-02-11
5172,14 january 1983,1983-01-14
5173,25 feb 2007,2007-02-25
5174,10 march 2004,2004-03-10
5175,sunday may 16 1982,1982-05-16
5176,sunday july 25 1999,1999-07-25
5177,november 22 1974,1974-11-22
5178,28 06 07,2007-06-28
5179,11/4/94,1994-11-04
5180,february 24 1971,1971-02-24
5181,dec 3 1996,1996-12-03
5182,10 may 1990,1990-05-10
5183,tuesday march 29 2011,2011-03-29
5184,05.01.73,1973-01-05
5185,tuesday february 28 1995,1995-02-28
5186,8/13/16,2016-08-13
5187,30 apr 1983,1983-04-30
5188,april 5 2010,2010-04-05
5189,saturday april 27 1985,1985-04-27
5190,17 apr 1983,1983-04-17
5191,saturday december 8 2001,2001-12-08
5192,17 05 15,2015-05-17
5193,tuesday september 3 2002,2002-09-03
5194,friday november 27 1987,1987-11-27
5195,saturday september 10 2011,2011-09-10
5196,jul 10 2012,2012-07-10
5197,11 may 2010,2010-05-11
5198,24 october 1977,1977-10-24
5199,october 27 1979,1979-10-27
5200,12 nov 2014,2014-11-12
5201,26.08.01,2001-08-26
5202,december 19 2012,2012-12-19
5203,thursday december 26 1991,1991-12-26
5204,july 22 1974,1974-07-22
5205,saturday january 6 2018,2018-01-06
5206,september 7 2007,2007-09-07
5207,27 oct 1991,1991-10-27
5208,17 jan 1983,1983-01-17
5209,september 11 1970,1970-09-11
5210,thursday september 14 2006,2006-09-14
5211,16 july 1985,1985-07-16
5212,friday march 31 2006,2006-03-31
5213,3 july 2002,2002-07-03
5214,december 2 1989,1989-12-02
5215,thursday october 14 2010,2010-10-14
5216,31 january 1975,1975-01-31
5217,wednesday june 17 1970,1970-06-17
5218,2 07 94,1994-07-02
5219,04 jan 1991,1991-01-04
5220,7/29/92,1992-07-29
5221,06 jul 2013,2013-07-06
5222,friday april 2 1971,1971-04-02
5223,sunday december 28 2014,2014-12-28
5224,sunday april 1 2012,2012-04-01
5225,june 2 2012,2012-06-02
5226,11 mar 2007,2007-03-11
5227,5/7/04,2004-05-07
5228,6/25/92,1992-06-25
5229,23 jul 1991,1991-07-23
5230,07 nov 2009,2009-11-07
5231,thursday august 28 1986,1986-08-28
5232,10.03.79,1979-03-10
5233,tuesday july 6 1999,1999-07-06
5234,19 10 76,1976-10-19
5235,sunday july 30 1972,1972-07-30
5236,saturday february 29 1992,1992-02-29
5237,sunday december 30 1973,1973-12-30
5238,saturday november 4 1989,1989-11-04
5239,sunday june 15 1980,1980-06-15
5240,monday december 11 1995,1995-12-11
5241,29 july 1999,1999-07-29
5242,17 april 1996,1996-04-17
5243,monday august 16 1971,1971-08-16
5244,wednesday january 11 1989,1989-01-11
5245,8 april 1972,1972-04-08
5246,november 8 1974,1974-11-08
5247,monday february 10 1997,1997-02-10
5248,saturday july 6 1974,1974-07-06
5249,10 jun 1997,1997-06-10
5250,december 3 2008,2008-12-03
5251,saturday january 26 1980,1980-01-26
5252,saturday december 2 2017,2017-12-02
5253,03.12.04,2004-12-03
5254,friday february 2 2001,2001-02-02
5255,thursday december 19 1996,1996-12-19
5256,17 jun 1999,1999-06-17
5257,12/2/71,1971-12-02
5258,may 25 1998,1998-05-25
5259,08 apr 1996,1996-04-08
5260,7 october 1981,1981-10-07
5261,january 15 2010,2010-01-15
5262,6 january 1978,1978-01-06
5263,may 12 2002,2002-05-12
5264,monday february 20 1989,1989-02-20
5265,7 01 86,1986-01-07
5266,15 03 85,1985-03-15
5267,saturday august 25 2007,2007-08-25
5268,19 jan 2015,2015-01-19
5269,sunday june 12 1983,1983-06-12
5270,16 may 2003,2003-05-16
5271,tuesday september 26 1989,1989-09-26
5272,saturday april 4 1970,1970-04-04
5273,may 23 1974,1974-05-23
5274,thursday september 19 1985,1985-09-19
5275,15 november 2013,2013-11-15
5276,october 12 2010,2010-10-12
5277,february 4 1990,1990-02-04
5278,december 20 1995,1995-12-20
5279,10/17/83,1983-10-17
5280,25 november 1971,1971-11-25
5281,thursday may 18 1972,1972-05-18
5282,june 28 2013,2013-06-28
5283,10.10.76,1976-10-10
5284,jul 10 2016,2016-07-10
5285,monday december 1 2014,2014-12-01
5286,december 14 2013,2013-12-14
5287,monday january 12 2004,2004-01-12
5288,4/22/16,2016-04-22
5289,friday june 27 1986,1986-06-27
5290,saturday june 28 2008,2008-06-28
5291,may 12 2015,2015-05-12
5292,12 07 83,1983-07-12
5293,thursday january 5 1995,1995-01-05
5294,march 24 1998,1998-03-24
5295,wednesday january 18 2006,2006-01-18
5296,21 jul 1991,1991-07-21
5297,tuesday september 16 1986,1986-09-16
5298,sunday september 23 1973,1973-09-23
5299,29 may 2007,2007-05-29
5300,friday september 19 1986,1986-09-19
5301,january 28 1989,1989-01-28
5302,22 11 92,1992-11-22
5303,tuesday april 22 2003,2003-04-22
5304,april 22 1996,1996-04-22
5305,wednesday july 24 2013,2013-07-24
5306,nov 22 1981,1981-11-22
5307,23 march 2014,2014-03-23
5308,15 apr 1974,1974-04-15
5309,11 06 74,1974-06-11
5310,saturday may 3 2003,2003-05-03
5311,7 october 2016,2016-10-07
5312,17 jun 2010,2010-06-17
5313,february 1 1970,1970-02-01
5314,28 aug 1970,1970-08-28
5315,february 3 1999,1999-02-03
5316,friday october 8 2010,2010-10-08
5317,monday january 15 1996,1996-01-15
5318,july 27 2010,2010-07-27
5319,aug 4 1986,1986-08-04
5320,monday july 9 1990,1990-07-09
5321,friday november 27 1998,1998-11-27
5322,29 january 1974,1974-01-29
5323,thursday april 6 1978,1978-04-06
5324,wednesday june 24 1981,1981-06-24
5325,26 12 74,1974-12-26
5326,04 feb 1999,1999-02-04
5327,28.03.79,1979-03-28
5328,27 jan 2011,2011-01-27
5329,04 apr 1984,1984-04-04
5330,friday october 7 1977,1977-10-07
5331,monday july 10 1972,1972-07-10
5332,wednesday december 15 2004,2004-12-15
5333,tuesday february 24 1987,1987-02-24
5334,03 nov 1974,1974-11-03
5335,10.08.17,2017-08-10
5336,4 01 02,2002-01-04
5337,27 01 96,1996-01-27
5338,may 26 2008,2008-05-26
5339,5 oct 2008,2008-10-05
5340,friday november 14 1986,1986-11-14
5341,23 aug 2010,2010-08-23
5342,saturday november 27 1982,1982-11-27
5343,thursday may 20 2004,2004-05-20
5344,tuesday march 10 1992,1992-03-10
5345,july 18 2016,2016-07-18
5346,14 aug 1984,1984-08-14
5347,3 april 2013,2013-04-03
5348,24 jul 1972,1972-07-24
5349,november 29 2003,2003-11-29
5350,27.01.75,1975-01-27
5351,monday july 14 2014,2014-07-14
5352,30 november 1994,1994-11-30
5353,4 january 2000,2000-01-04
5354,february 13 2007,2007-02-13
5355,13 apr 1993,1993-04-13
5356,wednesday may 10 1989,1989-05-10
5357,monday may 13 2002,2002-05-13
5358,friday february 5 1999,1999-02-05
5359,sunday april 11 1976,1976-04-11
5360,october 5 1981,1981-10-05
5361,17.12.05,2005-12-17
5362,saturday june 10 2000,2000-06-10
5363,sunday february 23 1992,1992-02-23
5364,monday april 30 2012,2012-04-30
5365,april 23 2009,2009-04-23
5366,15 may 1980,1980-05-15
5367,4 february 1974,1974-02-04
5368,29 09 96,1996-09-29
5369,18.11.84,1984-11-18
5370,february 5 1975,1975-02-05
5371,sunday january 20 1980,1980-01-20
5372,28 september 2004,2004-09-28
5373,monday may 18 1970,1970-05-18
5374,nov 16 2004,2004-11-16
5375,10/15/11,2011-10-15
5376,sunday july 15 2007,2007-07-15
5377,tuesday may 7 1985,1985-05-07
5378,june 5 1971,1971-06-05
5379,monday october 26 1992,1992-10-26
5380,saturday may 29 2010,2010-05-29
5381,11/22/74,1974-11-22
5382,11 may 1982,1982-05-11
5383,31 march 2008,2008-03-31
5384,12 april 2010,2010-04-12
5385,2 01 95,1995-01-02
5386,2 04 89,1989-04-02
5387,thursday july 17 1975,1975-07-17
5388,friday august 9 2002,2002-08-09
5389,26 may 2008,2008-05-26
5390,tuesday october 14 2014,2014-10-14
5391,thursday october 31 1985,1985-10-31
5392,november 24 1981,1981-11-24
5393,5 may 1973,1973-05-05
5394,wednesday october 17 1984,1984-10-17
5395,april 12 1974,1974-04-12
5396,27 mar 2010,2010-03-27
5397,24 april 2000,2000-04-24
5398,monday june 18 1979,1979-06-18
5399,4/13/95,1995-04-13
5400,tuesday may 11 1976,1976-05-11
5401,02 nov 2016,2016-11-02
5402,5 04 87,1987-04-05
5403,friday september 14 2007,2007-09-14
5404,saturday april 24 1982,1982-04-24
5405,july 31 1979,1979-07-31
5406,thursday december 28 2017,2017-12-28
5407,28 march 2014,2014-03-28
5408,october 10 1976,1976-10-10
5409,15 nov 1979,1979-11-15
5410,thursday july 10 2008,2008-07-10
5411,4 march 1984,1984-03-04
5412,feb 27 1978,1978-02-27
5413,17 march 2015,2015-03-17
5414,thursday november 17 1983,1983-11-17
5415,saturday may 26 2007,2007-05-26
5416,08.05.78,1978-05-08
5417,july 20 1976,1976-07-20
5418,28 august 1979,1979-08-28
5419,tuesday december 13 1988,1988-12-13
5420,1 september 1988,1988-09-01
5421,tuesday january 2 1996,1996-01-02
5422,7 october 2014,2014-10-07
5423,dec 4 2006,2006-12-04
5424,april 9 1972,1972-04-09
5425,friday november 4 2011,2011-11-04
5426,tuesday june 17 1980,1980-06-17
5427,sunday may 10 1998,1998-05-10
5428,saturday december 8 1979,1979-12-08
5429,3 september 2008,2008-09-03
5430,4 october 1995,1995-10-04
5431,friday march 21 1997,1997-03-21
5432,22 mar 2014,2014-03-22
5433,april 1 1984,1984-04-01
5434,sunday february 16 2014,2014-02-16
5435,26 jun 2007,2007-06-26
5436,wednesday march 30 1983,1983-03-30
5437,jul 9 1993,1993-07-09
5438,21 feb 1992,1992-02-21
5439,19 june 1978,1978-06-19
5440,tuesday september 6 1988,1988-09-06
5441,20 mar 1991,1991-03-20
5442,friday may 27 1988,1988-05-27
5443,friday april 5 1991,1991-04-05
5444,march 6 2006,2006-03-06
5445,22 jun 2000,2000-06-22
5446,tuesday november 22 1983,1983-11-22
5447,9 apr 1975,1975-04-09
5448,04 apr 1997,1997-04-04
5449,thursday may 7 1992,1992-05-07
5450,jun 25 2000,2000-06-25
5451,tuesday july 5 1977,1977-07-05
5452,tuesday september 11 1984,1984-09-11
5453,february 18 1998,1998-02-18
5454,3 oct 2000,2000-10-03
5455,thursday march 30 1972,1972-03-30
5456,monday june 4 1990,1990-06-04
5457,monday december 26 2011,2011-12-26
5458,friday january 7 1972,1972-01-07
5459,may 7 2003,2003-05-07
5460,8/2/91,1991-08-02
5461,feb 18 1980,1980-02-18
5462,march 23 1974,1974-03-23
5463,30 06 05,2005-06-30
5464,thursday june 18 2009,2009-06-18
5465,26 jan 2013,2013-01-26
5466,wednesday march 22 1989,1989-03-22
5467,24 july 1985,1985-07-24
5468,december 23 1975,1975-12-23
5469,13 feb 1972,1972-02-13
5470,27 11 12,2012-11-27
5471,11/9/16,2016-11-09
5472,saturday january 3 1981,1981-01-03
5473,wednesday september 21 1988,1988-09-21
5474,13 11 76,1976-11-13
5475,friday march 7 2014,2014-03-07
5476,08 apr 1978,1978-04-08
5477,5 january 1995,1995-01-05
5478,14.08.13,2013-08-14
5479,monday october 6 2008,2008-10-06
5480,february 15 2015,2015-02-15
5481,20 feb 1989,1989-02-20
5482,apr 25 2009,2009-04-25
5483,september 10 1987,1987-09-10
5484,sunday june 18 1995,1995-06-18
5485,wednesday december 7 1994,1994-12-07
5486,august 23 2017,2017-08-23
5487,18 july 2004,2004-07-18
5488,20 dec 1978,1978-12-20
5489,friday may 19 2000,2000-05-19
5490,november 28 2011,2011-11-28
5491,saturday october 13 2001,2001-10-13
5492,january 10 1975,1975-01-10
5493,sunday june 5 2005,2005-06-05
5494,wednesday august 9 2006,2006-08-09
5495,wednesday june 15 1977,1977-06-15
5496,march 3 1997,1997-03-03
5497,4 august 1982,1982-08-04
5498,sunday may 31 1970,1970-05-31
5499,sunday may 4 1986,1986-05-04
5500,5/30/01,2001-05-30
5501,14 mar 1978,1978-03-14
5502,june 15 1992,1992-06-15
5503,1/26/87,1987-01-26
5504,october 16 2011,2011-10-16
5505,february 27 1997,1997-02-27
5506,saturday july 6 1996,1996-07-06
5507,1/24/09,2009-01-24
5508,26 september 1992,1992-09-26
5509,monday may 30 2016,2016-05-30
5510,wednesday october 1 2014,2014-10-01
5511,5 april 1986,1986-04-05
5512,saturday november 26 2016,2016-11-26
5513,tuesday december 27 2005,2005-12-27
5514,july 10 1998,1998-07-10
5515,3/5/02,2002-03-05
5516,tuesday december 4 1990,1990-12-04
5517,11 mar 2000,2000-03-11
5518,september 22 2002,2002-09-22
5519,5 oct 2006,2006-10-05
5520,friday september 8 1995,1995-09-08
5521,1/6/92,1992-01-06
5522,09 jun 2000,2000-06-09
5523,thursday august 7 2014,2014-08-07
5524,22.09.82,1982-09-22
5525,22 jul 2011,2011-07-22
5526,tuesday april 8 2014,2014-04-08
5527,thursday march 19 1981,1981-03-19
5528,6 06 82,1982-06-06
5529,10/11/01,2001-10-11
5530,30 oct 1986,1986-10-30
5531,10 february 2006,2006-02-10
5532,friday july 12 1974,1974-07-12
5533,sunday march 13 1988,1988-03-13
5534,february 3 2006,2006-02-03
5535,april 25 1988,1988-04-25
5536,26 october 2009,2009-10-26
5537,wednesday december 19 1979,1979-12-19
5538,wednesday june 2 1971,1971-06-02
5539,7/3/78,1978-07-03
5540,wednesday march 30 1977,1977-03-30
5541,thursday september 11 1997,1997-09-11
5542,may 23 1986,1986-05-23
5543,thursday august 7 2014,2014-08-07
5544,20 jan 1985,1985-01-20
5545,sunday december 18 1988,1988-12-18
5546,24 may 1978,1978-05-24
5547,31.03.83,1983-03-31
5548,28 october 2014,2014-10-28
5549,march 25 1993,1993-03-25
5550,march 13 2011,2011-03-13
5551,23 dec 2006,2006-12-23
5552,thursday august 5 2010,2010-08-05
5553,thursday february 2 2012,2012-02-02
5554,sunday february 22 1970,1970-02-22
5555,tuesday february 23 1993,1993-02-23
5556,16 feb 2003,2003-02-16
5557,21 may 1997,1997-05-21
5558,monday november 21 2011,2011-11-21
5559,18 jan 2000,2000-01-18
5560,february 24 1986,1986-02-24
5561,11.06.75,1975-06-11
5562,22 dec 1987,1987-12-22
5563,monday may 14 2001,2001-05-14
5564,jul 28 1976,1976-07-28
5565,21 oct 1986,1986-10-21
5566,monday february 7 1994,1994-02-07
5567,thursday september 24 1987,1987-09-24
5568,monday september 16 2013,2013-09-16
5569,sunday august 22 1993,1993-08-22
5570,22 07 98,1998-07-22
5571,30 january 2014,2014-01-30
5572,9 aug 2008,2008-08-09
5573,wednesday february 17 1999,1999-02-17
5574,10/22/05,2005-10-22
5575,9 jan 2004,2004-01-09
5576,monday june 13 1988,1988-06-13
5577,8 april 1979,1979-04-08
5578,wednesday november 23 2011,2011-11-23
5579,june 8 2009,2009-06-08
5580,saturday december 14 2013,2013-12-14
5581,monday october 12 2015,2015-10-12
5582,17 03 82,1982-03-17
5583,09 sep 2016,2016-09-09
5584,1 08 08,2008-08-01
5585,22 sep 2011,2011-09-22
5586,30 oct 1982,1982-10-30
5587,jul 31 1991,1991-07-31
5588,october 21 1991,1991-10-21
5589,tuesday february 26 2008,2008-02-26
5590,10 march 1999,1999-03-10
5591,thursday march 26 1970,1970-03-26
5592,16 sep 2000,2000-09-16
5593,wednesday august 26 1970,1970-08-26
5594,14 jul 2002,2002-07-14
5595,monday january 31 2005,2005-01-31
5596,11 aug 2005,2005-08-11
5597,19 dec 1996,1996-12-19
5598,22.09.06,2006-09-22
5599,11 may 2012,2012-05-11
5600,21 apr 1989,1989-04-21
5601,04 nov 1976,1976-11-04
5602,thursday june 25 1981,1981-06-25
5603,mar 4 2017,2017-03-04
5604,saturday may 13 1978,1978-05-13
5605,thursday february 10 1983,1983-02-10
5606,14.09.72,1972-09-14
5607,thursday december 4 1980,1980-12-04
5608,19 december 1983,1983-12-19
5609,monday may 23 1988,1988-05-23
5610,28 february 2012,2012-02-28
5611,10/8/09,2009-10-08
5612,08 jan 2014,2014-01-08
5613,31 march 1971,1971-03-31
5614,05 feb 1995,1995-02-05
5615,22 july 1992,1992-07-22
5616,february 23 1992,1992-02-23
5617,06 jun 1997,1997-06-06
5618,july 31 1976,1976-07-31
5619,thursday july 1 1999,1999-07-01
5620,26 jan 1997,1997-01-26
5621,thursday august 27 1987,1987-08-27
5622,3 november 1989,1989-11-03
5623,12 nov 1975,1975-11-12
5624,april 10 2006,2006-04-10
5625,12 sep 2007,2007-09-12
5626,10 jan 2017,2017-01-10
5627,27 august 2017,2017-08-27
5628,friday january 12 1973,1973-01-12
5629,17 oct 1983,1983-10-17
5630,saturday march 19 1983,1983-03-19
5631,monday april 17 1972,1972-04-17
5632,january 18 2015,2015-01-18
5633,13 apr 1976,1976-04-13
5634,20.03.80,1980-03-20
5635,2 may 1977,1977-05-02
5636,saturday june 27 2009,2009-06-27
5637,tuesday september 14 1999,1999-09-14
5638,4 february 1999,1999-02-04
5639,16 aug 2012,2012-08-16
5640,monday february 9 2015,2015-02-09
5641,saturday february 3 2007,2007-02-03
5642,sunday october 10 1971,1971-10-10
5643,april 24 2005,2005-04-24
5644,19 january 1991,1991-01-19
5645,jul 20 1987,1987-07-20
5646,4/26/07,2007-04-26
5647,5 september 1976,1976-09-05
5648,saturday december 4 1971,1971-12-04
5649,friday december 1 2000,2000-12-01
5650,21 09 07,2007-09-21
5651,saturday october 31 2009,2009-10-31
5652,3/21/89,1989-03-21
5653,8 08 08,2008-08-08
5654,december 10 2005,2005-12-10
5655,13.12.06,2006-12-13
5656,25.11.98,1998-11-25
5657,thursday february 21 2008,2008-02-21
5658,thursday august 4 1977,1977-08-04
5659,18 jun 1978,1978-06-18
5660,saturday september 1 1984,1984-09-01
5661,wednesday september 8 1971,1971-09-08
5662,23 feb 1981,1981-02-23
5663,sunday august 13 2017,2017-08-13
5664,1 sep 2012,2012-09-01
5665,thursday june 21 2007,2007-06-21
5666,december 12 2004,2004-12-12
5667,sunday april 26 1992,1992-04-26
5668,monday december 24 1973,1973-12-24
5669,feb 14 2006,2006-02-14
5670,saturday november 24 2001,2001-11-24
5671,thursday july 4 2013,2013-07-04
5672,wednesday november 4 1998,1998-11-04
5673,19 05 06,2006-05-19
5674,sunday july 26 2009,2009-07-26
5675,16 nov 2001,2001-11-16
5676,mar 16 1970,1970-03-16
5677,09 aug 1996,1996-08-09
5678,wednesday october 2 2013,2013-10-02
5679,28 aug 1974,1974-08-28
5680,monday march 5 1973,1973-03-05
5681,21.09.11,2011-09-21
5682,15 oct 2017,2017-10-15
5683,02 may 1971,1971-05-02
5684,11 dec 1987,1987-12-11
5685,aug 28 1997,1997-08-28
5686,wednesday june 1 2016,2016-06-01
5687,19 sep 2000,2000-09-19
5688,15 jan 1980,1980-01-15
5689,21 jan 2017,2017-01-21
5690,saturday april 30 1983,1983-04-30
5691,25 march 2004,2004-03-25
5692,saturday october 28 1972,1972-10-28
5693,october 1 2006,2006-10-01
5694,15 nov 2002,2002-11-15
5695,july 17 1997,1997-07-17
5696,saturday october 21 2000,2000-10-21
5697,february 14 1972,1972-02-14
5698,30 nov 1991,1991-11-30
5699,monday march 19 2007,2007-03-19
5700,thursday august 23 1973,1973-08-23
5701,september 30 1994,1994-09-30
5702,1/1/84,1984-01-01
5703,tuesday november 25 2014,2014-11-25
5704,02 mar 1987,1987-03-02
5705,sunday october 26 2014,2014-10-26
5706,monday march 3 1975,1975-03-03
5707,friday march 27 1981,1981-03-27
5708,27 jan 2018,2018-01-27
5709,february 22 2000,2000-02-22
5710,thursday february 22 1979,1979-02-22
5711,wednesday july 28 1993,1993-07-28
5712,friday july 5 1985,1985-07-05
5713,19 feb 1984,1984-02-19
5714,5 march 2003,2003-03-05
5715,15 oct 1970,1970-10-15
5716,wednesday february 25 1998,1998-02-25
5717,saturday july 2 1977,1977-07-02
5718,tuesday january 16 2007,2007-01-16
5719,january 2 1989,1989-01-02
5720,11/27/82,1982-11-27
5721,30 september 2000,2000-09-30
5722,march 28 1982,1982-03-28
5723,saturday december 12 2009,2009-12-12
5724,5 apr 1988,1988-04-05
5725,monday july 30 1973,1973-07-30
5726,sunday july 6 2003,2003-07-06
5727,wednesday march 13 1974,1974-03-13
5728,saturday march 16 2013,2013-03-16
5729,wednesday january 17 1996,1996-01-17
5730,july 22 1988,1988-07-22
5731,9 08 70,1970-08-09
5732,wednesday august 24 1988,1988-08-24
5733,26 november 2005,2005-11-26
5734,19 07 03,2003-07-19
5735,thursday july 24 1997,1997-07-24
5736,january 18 1973,1973-01-18
5737,22 oct 2007,2007-10-22
5738,nov 27 1983,1983-11-27
5739,thursday december 20 1984,1984-12-20
5740,october 18 1976,1976-10-18
5741,april 10 2008,2008-04-10
5742,january 8 2015,2015-01-08
5743,sunday june 10 1973,1973-06-10
5744,thursday june 7 1990,1990-06-07
5745,tuesday april 27 2004,2004-04-27
5746,wednesday march 26 1980,1980-03-26
5747,sunday october 21 1979,1979-10-21
5748,03 jan 2011,2011-01-03
5749,december 31 1998,1998-12-31
5750,25 august 1973,1973-08-25
5751,feb 24 1980,1980-02-24
5752,saturday february 2 2002,2002-02-02
5753,30 may 2002,2002-05-30
5754,wednesday february 23 1994,1994-02-23
5755,december 5 2007,2007-12-05
5756,21 sep 1995,1995-09-21
5757,friday july 22 2016,2016-07-22
5758,july 1 2006,2006-07-01
5759,tuesday june 9 1992,1992-06-09
5760,monday october 15 1979,1979-10-15
5761,wednesday december 9 1987,1987-12-09
5762,19 nov 1982,1982-11-19
5763,oct 23 1989,1989-10-23
5764,saturday september 9 1989,1989-09-09
5765,02.06.81,1981-06-02
5766,wednesday july 6 2005,2005-07-06
5767,friday august 13 1971,1971-08-13
5768,31.12.79,1979-12-31
5769,friday april 7 1978,1978-04-07
5770,friday may 18 1979,1979-05-18
5771,friday june 26 1987,1987-06-26
5772,sunday september 4 1983,1983-09-04
5773,friday august 30 2013,2013-08-30
5774,10/15/13,2013-10-15
5775,friday october 15 1982,1982-10-15
5776,29 october 1979,1979-10-29
5777,tuesday october 29 1985,1985-10-29
5778,23 aug 2003,2003-08-23
5779,07 feb 1994,1994-02-07
5780,january 25 1984,1984-01-25
5781,wednesday august 29 1979,1979-08-29
5782,sunday march 18 1973,1973-03-18
5783,thursday march 17 2016,2016-03-17
5784,thursday november 12 1970,1970-11-12
5785,august 6 1976,1976-08-06
5786,9 nov 1996,1996-11-09
5787,monday september 22 2014,2014-09-22
5788,10 may 1973,1973-05-10
5789,tuesday october 18 1983,1983-10-18
5790,march 16 1992,1992-03-16
5791,august 2 2004,2004-08-02
5792,18 january 1984,1984-01-18
5793,tuesday may 23 1978,1978-05-23
5794,21 05 10,2010-05-21
5795,18 nov 1990,1990-11-18
5796,8/22/12,2012-08-22
5797,wednesday july 18 2001,2001-07-18
5798,thursday january 16 1975,1975-01-16
5799,27 dec 2017,2017-12-27
5800,28 sep 2001,2001-09-28
5801,11 may 1980,1980-05-11
5802,4 10 92,1992-10-04
5803,friday february 24 2012,2012-02-24
5804,wednesday february 16 1972,1972-02-16
5805,wednesday january 19 1972,1972-01-19
5806,december 17 1991,1991-12-17
5807,friday february 24 2017,2017-02-24
5808,wednesday november 11 2015,2015-11-11
5809,tuesday april 23 2013,2013-04-23
